amfi_code,date,nav
118456,2022-01-03,111.8812
118456,2022-01-04,110.5585
118456,2022-01-05,111.0574
118456,2022-01-06,112.287
118456,2022-01-07,111.0533
118456,2022-01-10,112.6087
118456,2022-01-11,112.0412
118456,2022-01-12,111.3669
118456,2022-01-13,112.9215
118456,2022-01-14,112.1196
118456,2022-01-17,110.2761
118456,2022-01-18,111.3043
118456,2022-01-19,111.173
118456,2022-01-20,112.8157
118456,2022-01-21,113.9885
118456,2022-01-24,111.6427
118456,2022-01-25,113.4498
118456,2022-01-26,116.0815
118456,2022-01-27,117.5677
118456,2022-01-28,119.1298
118456,2022-01-31,118.8234
118456,2022-02-01,118.1912
118456,2022-02-02,118.5398
118456,2022-02-03,119.8957
118456,2022-02-04,121.231
118456,2022-02-07,120.6426
118456,2022-02-08,119.9103
118456,2022-02-09,117.814
118456,2022-02-10,118.7758
118456,2022-02-11,118.2677
118456,2022-02-14,117.8878
118456,2022-02-15,120.3793
118456,2022-02-16,121.2918
118456,2022-02-17,121.8103
118456,2022-02-18,123.0726
118456,2022-02-21,125.2199
118456,2022-02-22,122.8395
118456,2022-02-23,122.0548
118456,2022-02-24,121.7637
118456,2022-02-25,120.3828
118456,2022-02-28,120.0479
118456,2022-03-01,117.8613
118456,2022-03-02,119.2128
118456,2022-03-03,118.5201
118456,2022-03-04,118.8533
118456,2022-03-07,118.9741
118456,2022-03-08,119.8175
118456,2022-03-09,116.3271
118456,2022-03-10,117.0022
118456,2022-03-11,116.6627
118456,2022-03-14,117.279
118456,2022-03-15,115.666
118456,2022-03-16,116.2865
118456,2022-03-17,118.145
118456,2022-03-18,118.4613
118456,2022-03-21,117.4891
118456,2022-03-22,116.5865
118456,2022-03-23,117.4393
118456,2022-03-24,118.289
118456,2022-03-25,118.8425
118456,2022-03-28,118.8365
118456,2022-03-29,119.1734
118456,2022-03-30,119.1283
118456,2022-03-31,118.6315
118456,2022-04-01,119.7572
118456,2022-04-04,120.2508
118456,2022-04-05,122.1612
118456,2022-04-06,123.8473
118456,2022-04-07,124.3092
118456,2022-04-08,125.2471
118456,2022-04-11,123.8585
118456,2022-04-12,123.7928
118456,2022-04-13,124.3513
118456,2022-04-14,122.0393
118456,2022-04-15,122.717
118456,2022-04-18,121.3535
118456,2022-04-19,120.1648
118456,2022-04-20,119.4494
118456,2022-04-21,119.4534
118456,2022-04-22,117.5976
118456,2022-04-25,118.8535
118456,2022-04-26,119.1541
118456,2022-04-27,121.9542
118456,2022-04-28,122.4421
118456,2022-04-29,123.3297
118456,2022-05-02,122.1154
118456,2022-05-03,120.4324
118456,2022-05-04,121.3754
118456,2022-05-05,119.8316
118456,2022-05-06,120.8025
118456,2022-05-09,123.3246
118456,2022-05-10,124.7736
118456,2022-05-11,125.6776
118456,2022-05-12,126.1343
118456,2022-05-13,125.6036
118456,2022-05-16,125.4812
118456,2022-05-17,124.68
118456,2022-05-18,122.7618
118456,2022-05-19,122.8631
118456,2022-05-20,124.5457
118456,2022-05-23,122.6693
118456,2022-05-24,124.777
118456,2022-05-25,126.6494
118456,2022-05-26,127.3034
118456,2022-05-27,127.9731
118456,2022-05-30,127.7383
118456,2022-05-31,127.8538
118456,2022-06-01,127.1937
118456,2022-06-02,127.2929
118456,2022-06-03,127.5574
118456,2022-06-06,130.488
118456,2022-06-07,131.4259
118456,2022-06-08,131.1482
118456,2022-06-09,131.045
118456,2022-06-10,129.9758
118456,2022-06-13,129.1724
118456,2022-06-14,130.6357
118456,2022-06-15,129.9136
118456,2022-06-16,129.0028
118456,2022-06-17,128.1372
118456,2022-06-20,127.0672
118456,2022-06-21,128.8368
118456,2022-06-22,129.109
118456,2022-06-23,128.7232
118456,2022-06-24,128.8199
118456,2022-06-27,129.2074
118456,2022-06-28,128.1004
118456,2022-06-29,126.0155
118456,2022-06-30,128.09
118456,2022-07-01,129.6599
118456,2022-07-04,130.2996
118456,2022-07-05,131.789
118456,2022-07-06,134.8692
118456,2022-07-07,134.0566
118456,2022-07-08,132.3085
118456,2022-07-11,133.4117
118456,2022-07-12,131.1167
118456,2022-07-13,131.2289
118456,2022-07-14,130.8115
118456,2022-07-15,131.9216
