month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
2022-01,11409,4.9,11.0,4.8,
2022-02,11764,4.95,10.0,4.92,
2022-03,12165,4.99,10.5,5.04,
2022-04,12711,5.04,11.6,5.16,
2022-05,13249,5.08,11.1,5.28,
2022-06,13572,5.12,11.9,5.4,
2022-07,13855,5.17,8.2,5.52,
2022-08,14205,5.22,10.5,5.64,
2022-09,14969,5.26,9.2,5.76,
2022-10,15278,5.31,9.7,5.88,
2022-11,15422,5.35,9.5,6.0,
2022-12,16062,5.4,9.3,6.12,
2023-01,16247,5.44,9.9,6.24,16.8
2023-02,16944,5.49,11.0,6.36,10.0
2023-03,17111,5.53,8.5,6.48,16.6
2023-04,17668,5.58,10.9,6.6,13.1
2023-05,18013,5.62,10.5,6.72,10.9
2023-06,18628,5.67,11.7,6.84,11.8
2023-07,19026,5.71,9.0,6.96,15.4
2023-08,19352,5.76,8.6,7.08,13.2
2023-09,19895,5.8,11.4,7.2,13.9
2023-10,20168,5.85,8.9,7.32,14.8
2023-11,20519,5.89,8.4,7.44,12.7
2023-12,20793,5.94,10.9,7.56,14.6
2024-01,21453,5.98,11.0,7.68,12.0
2024-02,21576,6.03,10.6,7.8,12.0
2024-03,22100,6.07,8.2,7.92,10.7
2024-04,22475,6.12,11.0,8.04,12.1
2024-05,22793,6.16,11.3,8.16,11.1
2024-06,23223,6.21,10.4,8.28,13.2
2024-07,23787,6.25,9.1,8.4,16.9
2024-08,24218,6.29,11.2,8.52,16.4
2024-09,24661,6.34,8.7,8.64,16.0
2024-10,25118,6.38,10.6,8.76,15.7
2024-11,25349,6.43,10.5,8.88,12.1
2024-12,25761,6.48,10.7,9.0,10.7
2025-01,26415,6.52,8.9,9.12,16.2
2025-02,26663,6.57,10.3,9.24,13.7
2025-03,27274,6.61,12.0,9.36,11.2
2025-04,27388,6.66,9.0,9.48,10.9
2025-05,28007,6.7,9.6,9.6,15.6
2025-06,28249,6.75,10.0,9.72,10.9
2025-07,28752,6.79,9.0,9.84,13.8
2025-08,29052,6.83,9.1,9.96,11.5
2025-09,29429,6.88,11.5,10.08,10.9
2025-10,30141,6.93,9.7,10.2,13.0
2025-11,30207,6.97,9.0,10.32,14.1
2025-12,31002,7.02,8.6,10.44,11.4
