month,total_folios_crore,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,others_folios_crore
2022-01,13.26,9.28,1.86,0.8,1.33
2022-04,13.91,9.74,1.95,0.83,1.39
2022-07,13.85,9.69,1.94,0.83,1.39
2022-10,14.37,10.06,2.01,0.86,1.44
2023-01,14.82,10.37,2.07,0.89,1.48
2023-04,15.31,10.72,2.14,0.92,1.53
2023-07,15.89,11.12,2.22,0.95,1.59
2023-10,16.42,11.49,2.3,0.99,1.64
2024-01,17.01,11.91,2.38,1.02,1.7
2024-04,17.89,12.52,2.5,1.07,1.79
2024-07,18.54,12.98,2.6,1.11,1.85
2024-10,19.21,13.45,2.69,1.15,1.92
2025-01,20.11,14.08,2.82,1.21,2.01
2025-04,21.34,14.94,2.99,1.28,2.13
2025-07,22.67,15.87,3.17,1.36,2.27
2025-10,24.12,16.88,3.38,1.45,2.41
2025-12,26.12,18.28,3.66,1.57,2.61
2024-01,17.01,11.91,2.38,1.02,1.7
2024-06,18.2,12.74,2.55,1.09,1.82
2024-12,20.5,14.35,2.87,1.23,2.05
2025-06,23.4,16.38,3.28,1.4,2.34
