investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV008203,2025-04-24,118633,SIP,319686,Delhi,Delhi,T30,56+,Female,31.4,Net Banking,Verified
INV001055,2023-03-26,120190,Lumpsum,76250,Tamil Nadu,Chennai,T30,46-55,Male,97.2,UPI,Verified
INV005040,2024-11-10,118457,SIP,481827,Punjab,Amritsar,B30,46-55,Male,122.6,UPI,Verified
INV004134,2022-03-15,119084,SIP,85335,Haryana,Faridabad,B30,46-55,Male,89.0,Net Banking,Verified
INV006851,2025-07-05,119093,SIP,426495,Kerala,Kochi,T30,26-35,Female,22.3,UPI,Verified
INV006603,2025-01-17,118633,SIP,335853,Kerala,Kochi,T30,18-25,Female,80.2,Mandate,Pending
INV005210,2023-02-27,119598,Lumpsum,222174,Tamil Nadu,Chennai,T30,46-55,Male,121.0,Net Banking,Verified
INV003669,2022-07-01,120190,SIP,51808,Tamil Nadu,Chennai,T30,56+,Female,66.6,Net Banking,Verified
INV003796,2024-05-18,125355,Lumpsum,101081,MP,Bhopal,B30,36-45,Female,46.1,Net Banking,Pending
INV003235,2024-09-28,120504,SIP,8044,Kerala,Kochi,T30,18-25,Male,131.6,UPI,Verified
INV008488,2025-10-17,119084,SIP,17624,Punjab,Amritsar,B30,46-55,Female,65.7,Net Banking,Verified
INV003207,2024-07-11,125354,SIP,17504,Karnataka,Bangalore,T30,26-35,Male,37.7,UPI,Verified
INV008899,2022-07-09,119598,SIP,4215,Bihar,Patna,B30,36-45,Male,25.4,Mandate,Pending
INV006958,2025-02-25,148924,Lumpsum,288447,Odisha,Bhubaneswar,B30,36-45,Male,121.5,UPI,Verified
INV009059,2025-03-19,120504,SIP,358921,Haryana,Faridabad,B30,18-25,Male,14.3,UPI,Verified
INV003948,2025-02-12,148568,SIP,15861,Telangana,Hyderabad,T30,18-25,Female,13.6,Mandate,Verified
INV005382,2022-12-06,119085,SIP,489730,Punjab,Amritsar,B30,36-45,Male,88.9,Net Banking,Verified
INV005580,2025-12-26,118990,SIP,26630,Telangana,Hyderabad,T30,18-25,Male,98.1,Mandate,Verified
INV006751,2022-04-06,118457,SIP,193078,Punjab,Amritsar,B30,46-55,Male,106.1,Mandate,Verified
INV008301,2024-06-16,125124,Redemption,424634,Karnataka,Bangalore,T30,56+,Female,117.6,Mandate,Verified
INV001844,2025-02-18,118632,Redemption,140802,UP,Lucknow,B30,46-55,Female,95.3,Cheque,Pending
INV004942,2024-09-26,118990,Lumpsum,318677,Rajasthan,Jaipur,B30,18-25,Male,68.6,Cheque,Verified
INV002478,2025-05-02,119599,SIP,15976,Delhi,Delhi,T30,36-45,Female,105.8,Net Banking,Verified
INV004693,2022-06-20,120842,SIP,349106,Gujarat,Ahmedabad,T30,56+,Female,123.2,UPI,Pending
INV005342,2023-10-15,148924,SIP,267874,Delhi,Delhi,T30,46-55,Male,4.2,UPI,Verified
INV006499,2023-09-06,148924,SIP,50715,Kerala,Kochi,T30,46-55,Male,15.1,Net Banking,Verified
INV005074,2023-04-06,119085,SIP,187923,Telangana,Hyderabad,T30,46-55,Female,88.8,Mandate,Verified
INV001324,2022-01-20,119599,Redemption,318880,Haryana,Faridabad,B30,46-55,Female,14.5,UPI,Verified
INV001901,2022-10-19,120503,SIP,58120,Delhi,Delhi,T30,18-25,Male,83.6,Cheque,Verified
INV009667,2022-09-09,119272,SIP,371568,Gujarat,Ahmedabad,T30,18-25,Female,137.0,Net Banking,Pending
INV002082,2024-05-13,125123,Lumpsum,151992,Punjab,Amritsar,B30,56+,Female,123.6,Cheque,Verified
INV006484,2025-07-30,118633,SIP,108018,UP,Lucknow,B30,56+,Male,17.9,UPI,Verified
INV009749,2023-04-16,118989,Lumpsum,265237,Tamil Nadu,Chennai,T30,56+,Female,146.6,Mandate,Verified
INV005072,2023-07-09,120466,SIP,12462,Rajasthan,Jaipur,B30,46-55,Female,129.1,Cheque,Verified
INV005032,2023-07-30,120842,SIP,6046,Rajasthan,Jaipur,B30,46-55,Female,102.6,UPI,Verified
INV004578,2023-09-14,148567,Lumpsum,27438,UP,Lucknow,B30,36-45,Female,112.1,Cheque,Verified
INV005040,2023-08-25,119085,SIP,459532,Punjab,Amritsar,B30,46-55,Female,149.9,UPI,Pending
INV007876,2025-01-20,119598,SIP,474575,Kerala,Kochi,T30,56+,Female,59.5,Mandate,Verified
INV005483,2023-08-31,125497,Redemption,314766,MP,Bhopal,B30,56+,Female,65.8,Mandate,Pending
INV004860,2024-06-20,118457,Lumpsum,274002,UP,Lucknow,B30,46-55,Male,66.2,Cheque,Verified
INV008037,2024-07-14,125355,SIP,300772,MP,Bhopal,B30,46-55,Male,23.4,UPI,Pending
INV002875,2024-06-11,120465,Lumpsum,334931,Gujarat,Ahmedabad,T30,56+,Male,43.7,Cheque,Verified
INV008607,2025-07-30,120465,SIP,339439,Telangana,Hyderabad,T30,18-25,Female,26.7,Net Banking,Pending
INV007119,2025-11-17,120189,Redemption,12532,Telangana,Hyderabad,T30,56+,Male,54.0,Mandate,Verified
INV005566,2025-10-01,125355,SIP,149983,MP,Bhopal,B30,46-55,Male,117.5,Mandate,Verified
